country,hostname,ip,key
at-vienna,at1.wg.ivpn.net,185.244.212.69,83LUBnP97SFpnS0y1MpEAFcg8MIiQJgW1FRv/8Mc40g=
au-sydney,au-nsw1.wg.ivpn.net,46.102.153.246,KmSrG48t5xw9CJCPlYLBG3JnmiY0CnUgyRM5TUEwZhM=
be-brussels,be1.wg.ivpn.net,194.187.251.13,awriP5lpdxEMWKuG+A1DOg+vb1M5jd3WhynIMB61BhU=
bg-sofia,bg1.wg.ivpn.net,82.102.23.21,WDSsdJE6wvATIWfzQwayPtE/0DaXBQgW/hPm7sQSJmU=
br-franca,br1.wg.ivpn.net,45.162.229.133,eN1f15S3YzRyYCALiPGRQcjkQO9xntcdqPhJJ6TOymc=
ca-montreal,ca1.wg.ivpn.net,37.120.130.58,rg+GGDmjM4Vxo1hURvKmgm9yonb6qcoKbPCP/DNDBnI=
ca-montreal,ca-qc1.wg.ivpn.net,87.101.92.29,98JU1mdCR8vD1aNZg017/NjBeTjuuCKUaLw0zfz/CUE=
ca-toronto,ca2.wg.ivpn.net,172.86.186.173,5qHV10ZbFgEGnF6wg9QpKeh1l6Di2JUG/5PdNaaoNW8=
ca-toronto,ca1.wg.ivpn.net,104.254.90.181,mdGnCZwinuOVGg46zsWnFhhenfFId6jht9GBTKB+xUA=
ch-zurich,ch1.wg.ivpn.net,141.255.164.66,jVZJ61i1xxkAfriDHpwvF/GDuTvZUqhwoWSjkOJvaUA=
ch-zurich,ch2.wg.ivpn.net,136.0.0.197,2AEtpzs3ynkzFhSYQtHUBSlHmRcpGOcgcUlhwSw9P20=
ch-zurich,ch3.wg.ivpn.net,141.255.166.198,JBpgBKtqIneRuEga7mbP2PAk/e4HPRaC11H0A0+R3lA=
ch-zurich,ch1.wg.ivpn.net,185.212.170.141,dU7gLfcupYd37LW0q6cxC6PHMba+eUFAUOoU/ryXZkY=
cz-prague,cz1.wg.ivpn.net,185.180.14.41,gVbEq2cGRzwCSGPqT2oRSYYN+P6IK3uvvRffErASDSk=
de-frankfurt,de1.wg.ivpn.net,185.102.219.26,mS3/WpXjnMAMmXjSpd4nFzx9HSE3ubv2WyjpyH2REgs=
de-frankfurt,de1.wg.ivpn.net,178.162.212.24,Sc5AUZieg0qX8kyCy9p0OHRES4n0CHtHHM+ZPyERFTc=
de-frankfurt,de2.wg.ivpn.net,37.58.60.151,QhY3OtBf4FFafKtLO33e6k8JnAl8e6ktFcRUyLjCDVY=
dk-copenhagen,dk1.wg.ivpn.net,185.245.84.229,jTsV5gOD7lT4egDj9rhKwO2OO2X7bKs2EQPcZEnUWDE=
es-madrid,es1.wg.ivpn.net,84.17.62.98,w7umiArTtlJ4Pk6Ii9WX5VXK5vw/Qu+Z37/icKlIYWo=
fi-helsinki,fi1.wg.ivpn.net,194.34.134.63,mIxEzfjZ2wV6jJVj30w38ECd2LSH4bw/HLMnM2ICHiI=
fr-paris,fr1.wg.ivpn.net,185.93.2.132,g7BuMzj3r/noLiLR4qhQMcvU6GSIY8RGEnaYtdYsFX4=
gb-london,gb1.wg.ivpn.net,81.92.202.114,7+jos+Eg+hMEOQE4Std6OJ+WVnCcmbqS1/EbPwn9w3s=
gb-london,gb2.wg.ivpn.net,185.59.221.225,x0BTRaxsdxAd58ZyU2YMX4bmuj+Eg+8/urT2F3Vs1n8=
gb-london,gb1.wg.ivpn.net,185.59.221.140,yKK5x+D17Jr3Q12T/UBaDjNVmNdZBsqpvTqH6YfsGHg=
gb-manchester,gb-man1.wg.ivpn.net,89.238.141.231,+hf4DYilNEIjTdSOuCNcWdqVyaRoxGzXw7wvNl7f7Rg=
hk-hongkong,hk1.wg.ivpn.net,209.58.189.105,MbqqGy6TI2WVxHYdMa7X1LJoIEQNElhYXMGlMqtwtS0=
hu-budapest,hu1.wg.ivpn.net,185.189.114.189,G30fNdXrnlqtqqOLF23QXWzFdLIKDxLW60HoYPvqml8=
il-telaviv,il1.wg.ivpn.net,185.191.207.197,HR9gAjpxXU3YVt6kehBw5n8yVYVE0iIgJdc4HTqOzEE=
is-reykjavik,is1.wg.ivpn.net,82.221.107.185,nZZT6TlQ2dXlVe3P3B5ozEScHYMWH4JY4y3to8w5dz0=
